1533148840# #D4.城堡内部。
1596935171# #这家民宿在秦淮河畔，很有特色goodgood
1677386626# #正月早已过，年都拜完了，还这么多人？服了，报复性消费。
1669680051# #每天早上，它都安静地趴在这里，陪孩子上网课爱你
1526786609# #广州电视台，试镜国学剧小演员，估计也就是跑龙套的哈哈行不行无所谓，也算是人生的一种经历doge
1544937831# #这个姿势太销魂了笑cry笑cry
1563113019# #奶牛和小德，都是我的爱！无法选择。
1700301978# #成人礼，广场交谊舞，天外经典保留节目。全广州市唯一无二吧哈哈哈哈
1564825513# #自称是英格兰第一家咖啡馆。不知真否？
1674650587# #正月初四，龙马精神！今早小慧姐和她女儿来给母亲拜年，作为邻居，她们相识六十多年，母亲刚好大她一轮，都属猴。自父亲走后，小慧姐每隔一两个月就会来看母亲，去年广州疫情厉害，此次时隔四个多月才相见。患病后，母亲很多人已经不是很认识了，但见面时仍可以叫出母女俩的名字。不由感慨，那些久远的
1533486254# #D8.本初子午线。左西经，右东经。一脚站在两个时区嘻嘻
1537695194# #亚洲第一笑cry笑cry笑cry
1555402237# #宁波，东钱湖。据说是范蠡泛舟之处，陶公山、陶公路皆是以此为名。咋我脑海不断浮现的是西施呢？
1564410546# #苏格兰风笛，真好听👂goodgoodgood
1624090377# #打第一针疫苗，无任何反应，同事笑说证明疫苗没效用；打第二针后，第二三天胳膊酸痛，第四天稍好一些，但TM又开始嗜睡了，即使每晚睡得很早很好，白天还是没精神允悲同事们，这次疫苗该发挥作用了吧？笑cry
1553045343# #入职八周年，希望再干八年！
1541085917# #出差在外，太太发几张猫照给我哈哈心疼她养的花。
1533384190# #D7.圣保罗大教堂内部雕刻艺术精美无比。我们爬上了50米高的穹顶，孩子恐高脚软不敢动哈哈我俩绕行一圈，也算是一个仪式吧！
1544937790# #鱼春，吃得太开心啦！😃
1595722124# #小区“看书吧”结业三个月后，旧址上又开了家“书香茶韵”，新业主又是一个文化人。整体搭配高大上，店里还有金鱼缸和乌龟池，讲究good外面园景绿化也花了心思，这盆景不怕人偷吗？目测过百斤，估计也拿不动哈哈哈哈好吧，让美好的回忆延续下去！
1643854531# #冬风冬雨愁煞人。
1533140181# #D4.城堡印象。社区非常安静，也很干净，路边停满了车，就是不见人。天空时不时有飞机掠过，想必离希斯罗机场不远。
1569917933# #看场电影，居然见到了某明星的粉丝包场，全是女孩！太多疯狂了哈哈谁知道朱一龙？doge
1565102192# #“碎片大厦”顶楼的空中花园，很美。
1700299788# #气温23度，天气晴朗。老天爷很给力！今天是孩子们的节日鲜花鲜花感谢天外！此时此地，有生结缘！
1530416506# #生命不息，折腾不止！
1532789311# #经过19个小时终于到达希斯罗机场，因为7个小时时差的原因，第二天中午12点到。从机场-地铁-社区，感觉来到了七个小矮人的童话世界，什么都比国内小一号，哦！是小两号、三号哈哈
1533411933# #D7.意料之外的交通堵塞，大家顿时原形毕露！马路乱成一锅粥。呵呵，出现这种情况天下都一样，怎么方便怎么来！以后再也不说天朝素质低啦doge
1533399170# #D7.据说，伦敦塔桥旁的伦敦塔（是不是很拗口）历史上是关犯人的地方哈哈
1532970216# #D2.白厅路，两边是办事机构。
1525392670# #二季度的工作方式是：周一至周五上会、出纪要、出差、处理OA和邮件；周六周日看材料，写报告。感觉可以颁个劳模奖给自己哈哈哈哈
1620370746# #一个叫china的地方。
1550397640# #孩子上学了，放飞自我！火锅，吃起来！
1672480549# #元旦快乐！阳康陆续出笼，人流恢复了八成吧，一切都向着好的方向发展！哥们出来浪一下。
1564609080# #英国多雨，但几乎没人打伞，最多就是兜上卫衣外套上的连帽。约翰牛，就是这么任性！
1555808855# #周日开业，这老板要么是个工作狂，要么就是个吝啬鬼哈哈哈哈哈哈
1671206365# #早上接到孩子电话，我就知道坏了！果然发烧扛不住了（之前他说阳了也坚持），立马接他回家，路上告我同宿舍有人阳，年级也不少同学阳，上课人数越来越少，他能撑到今天已是“钢铁战士”。前天太太陪岳父母看病，昨天已经发烧，我正愁周末孩子回家咋办？现在居然提前回来失望两个抗原做完，太太阳了，
1564602846# #推荐这家意大利餐厅，一流！玛格丽特披萨、海鲜意粉非常美味！普通炸面包也做工精致，餐后甜品是必须的。需要预约，否则排队二哈
1555516249# #湘菜，最爱。
1548927029# #之前坐过几次山顶缆车，唯有此次登上凌宵阁。会当凌绝顶，一览众山小！
1591264591# #我围观了的回答，该问题价值233.00元，围观仅1元，快来一起围观~
1562925533# #回不到的过去泪泪泪
1672222014# #街头车水马龙，有点堵了，但人还不多，餐饮上座率不到三成，烟火气待充值…
1699859200# #今天是父亲去世三周年，愿他安息！三年来，每想起老人家，心痛！我完全没料到，身体没大毛病的人，却突发重疾，走得如此之快！更遗憾的是，很多事情都没来得及交代。但有一样我是清楚的，他最放不下母亲，所以我一定要照顾好她！以告慰父亲。
1584629578# #一份意见书，写了八个小时，精疲力竭！不服老是不行的允悲允悲允悲
1592439536# #雨后，广州。
1533586547# #D9.今天购物去了牛津街和摄政街，顺便也去了liberty。相比而言，摄政街名店更多，款式新颖，折扣也更深，牛津街则是大路货较多，这两处适合游客和伦敦草根阶层；而真正的中产阶层应该是去liberty、Westfield，它们是面向英国中产和富裕人群坏笑购物体会：伦敦衣服比同档次的香港还便宜，比内地更是
1636902321# #我刚刚成为了的真爱粉，正在享受属于我的真爱粉专属权益，你也来和我一起支持TA吧！
1609433115# #魔幻般的2020终于过去了！于国，新冠疫情带给我们国家和人民巨大损失；于己，重症肺炎令我失去了敬爱的父亲泪直至今日恍如一梦，我怎么也无法接受一向健康的父亲竟然住院39天就永远的离开了我们，留给我们无尽的哀思！父亲的音容笑貌时时出现在记忆里、睡梦中，物在人去，微信聊天记录依在，看到听到
1647746689# #48小时内，强检，再来一次。也好，哥后天飞，也就不用再专门去做检测了doge
1573706461# #多次来过上海，但通常是到虹桥机场。这次降落浦东机场，感叹其之大！出机舱后坐5分钟轻轨才到出！口！行李就在此处取……笑cry
1543479753# #从明天开始，我决心：1.培养孩子良好的生活习惯和人格品质；2.关心孩子的身体健康，营造温馨的家庭氛围；3.引导孩子养成阅读的习惯。我要向孩子学习、与时俱进。在孩子走向成人的过程中，不吝惜鼓励，让孩子成为他自己，而不是成为我们期望的样子。静待花开，时到花开！
1564991488# #早上好！这是典型的伦敦夏季天气。
1534310482# #仿佛带来了二十几年前的画面。
1552922929# #前几天逛淘宝，脑子一热，买了一堆日本邮票剪片，浸泡清洗，累死我了！迟点还要晾干压平抓狂抓狂抓狂
1529811453# #这地方就是买新鲜空气，吃还不错，玩差一点点。不过孩子们喜欢！
1532702935# #准备出发，朝向日不落帝国。对于我这样的土鳖，从未出洋的人，未来行程犹如刘姥姥进大观园。
1533671331# #.英伦游之“玩”。第一次来欧洲选择大英帝国，盖因其是近代史最有影响力的国家，是工业革命的诞生地，是曾经的日不落帝国，它的侵略最终使我国变成半殖民地半封建社会。作为欧洲历史文化最悠久的王国之一，境内数百年甚至一千多年的古迹比比皆是，并且其将全世界掠夺的珍宝集中收藏在大英博物馆，这是
1630497954# #今天坐动车，上错车了允悲允悲允悲向着相反方向坐了40分钟笑cry笑cry笑cry
1579856870# #除夕，商场无人，路上静悄悄，偶见几辆车驶过。祝福大家，平安、健康、幸福！
1620446311# #史上第一次，金卡坐上了摆渡小巴。首先声明，哥如实告知，非头等，无隐瞒。因为今天晚点延误，补偿？我想不到第二个理由。总之，以后要多来这个英雄的城市哈哈哈哈
1550386916# #开学季，孩子轮值卫馨生，提前到校。书包、衣物、被子、床褥，大包小件好像搬家，最吃不消的是背到六楼，好久没干体力活，累坏了！时隔半年再到学校，又是一个新气象笑cry
1572174956# #送了孩子上学，回家路上经过星巴克，实在忍不住，来杯麦芽雪冷萃！晚上失眠，不管了，喝了再说笑cry
1678363924# #DAY2.Mezza9，据说是“buffet”的天花板，主打海鲜，通常需提前一个星期预约，今晚来试试！老婆吃了四款龙虾，分别是芝士焗、蒜蓉蒸、辣酱炒和避风塘允悲这是要吃回本吃够本的节奏吗？哥很老实，八只清蒸鲍鱼、两盘白灼大白蚶、两条黄花鱼。除此之外，诸如三文鱼、九肚鱼、天妇罗一堆杂七杂八的东西
1579652665# #广州花市，西湖最好。
1642145943# #现在有种舆论，感染新冠奥米克戎病毒，只要打了疫苗就视同大号流感，轻症会自愈，重症死亡率低，无需大行其事。对此本人强烈反对，理由如下：1、即使病亡率类似流感，但新冠感染基数之大却不是流感可比的，那么死亡绝对人数一定不低；2、相对新冠治愈的后遗症如嗅觉、味觉失灵、运动呼吸喘气等等，流感
1615544289# #入职十周年。
1520128869# #今早去了鼎鼎大名的天省，顺利投递
1533051528# #D3.三一学院，又一所天下闻名的“神学院”，盖因牛顿在此毕业。
1678430888# #澳门，过去觉得小，所以去得少！第一次去是2005年，当时也就在大三巴、炮台山和议事厅转了下。这次算是深度游，经此行，我最大错是以为它只有巴掌大，实际通过填海工程及不断开发，澳门三岛已今非昔比；其次，我以为它物价便宜，实际上消费已非常贵，饭菜贵东西不便宜，计程车跳表飞快；最后，我小看了
1533152332# #D4.今晚“自助餐”，没油真的差好多笑cry
1594696326# #帝都，国贸CBD商圈。
1535764152# #天天大雨，都一个多礼拜啦！真担心老天会被下穿了。广州夏天，衣服晾了两天居然干不了抓狂罕见！颇有春季“回南天”感觉，难道真要用干衣机吗笑cry
1565169987# #UK，再见！下次再来就去北爱和威尔士挤眼
1670767593# #《风吹半夏》，良心之作，力荐。
1520326905# #总体而言，相比于国航，南航休息室差点，面积小菜式少，没有那么高大上。但哥永远喜欢菜航有一样好，每当航班登机前妹子们都不厌其烦地走来走去，大声通知旅客准备登机。这点很好，因为正常情况还好，但如果航班延误则非常重要，故哥从未有过误机。聪明的你可能已猜到，俺之前吃过国航的亏，因为他们从
1556681187# #夏游，白云山。
1559120243# #一只喜欢玩水笼头的猫。
1679028468# #春游。
1695427907# #学业结束，返程之时，多少有点不舍，也许这就是所谓的离别吧！再见了大别山
1565018307# #俯瞰全伦敦，不一样的风景，别样的感觉，一个字，爽！两个字，爽快！！
1541862064# #五兄妹，十个老人，十个晚辈，烤全羊大餐，欢聚一堂。愿永远健康！快乐。
1539058476# #好久没来长沙了！
1556770620# #小米，实在太可爱了！模仿能力超强，看见我用水，后来它老是试图打开水笼头去喝水。
1670604807# #世界杯巴克四分之一赛，全场未到，巴西三个首发前锋全部换下，醉了！
1695204129# #伟大的中国工农红军万岁！精神永存！
1660371839# #上周看央视9台纪录片频道，追了五集《行星》，其中提到了意大利著名的女天体物理学家哈克，当时印象深刻。时隔几天，在中国集邮报上看到纪念其诞辰100周年的邮票发行报道。另外，米兰也专门为她竖立了一尊雕像！她拿着一个天文望远镜正在观察宇宙，像名“物理的凝视”，命名意味深长。有时想想，世界真
1542031066# #圣斗士。
1616500940# #我心广州
1538654280# #车这么少！停车场如此之空！一年里也只有国庆黄金周了，春节也比现在多。
1597048819# #再见！金陵。
1586311819# #南昌，一座英雄的城市，红谷滩，发展不错。初次到访，未能一睹八一广场和滕王阁，留待以后。
1664236720# #早安，武汉！
1676646535# #今天孩子回家。晚上清理他的行李箱，看到“三好学生”奖状，笑说“恭喜哟”！他回我：可能老师和同学眼瞎了允悲我有点凌乱笑cry
1533493461# #D8.漫步海德公园。
1548995293# #地铁直通学校教学楼，真牛！
1548927413# #360度景观，各有千秋，这是西边。夕阳无限好，只是近黄昏！
1633847228# #今天试坐18号线，号称全国最快地铁，全程60公里，35分钟。其中横沥-番禺广场段，时速160公里，媲美动车挤眼
1639668537# #下午太太告知岳父手术很顺利；晚上我俩和妈妈、保姆一起去天河城“滋粥楼”吃饭，大家很开心！可能最近出外散步较多，母亲明显没有去年那么胖了！希望她健康！晚上孩子下自修后打电话给我，祝爸爸生日快乐！谢谢你！亲爱的儿子爱你爱你爱你还收到岳母的“红包”。另，中午打了第三针，没啥反应，
1538208690# #大江大湖大武汉。
1666088443# #晚上武汉同事带我吃串，据说排行榜第一doge
1532944627# #D2-4。古非洲。图一复活节岛石像。
1649645427# #广州疫情，导致今天乘客少。
1626042150# #竞技体育最残酷的现实就是：冠军是神，亚军什么屁都不是！开赛前，没人敢想意大利问鼎，除了意国球迷外……允悲允悲
1653292410# #我刚刚成为了的V+会员，正在享受属于我的V+会员专属权益，你也来和我一起支持TA吧！
1533312015# #D6.小镇风情之一。
1563409893# #巢湖，签到打卡。
1556865815# #今天学习生物，向着全能迈进！虽说只是副科，但也要适当重视，首先确保期末考合格。谁知道在现时高考3+1+2的情形下，说不定未来高考主科会选它。世事难料！
1659750153# #早上送了孩子上课，决定去邮市逛逛，好久没去了。到了文德路时间尚早，去附近星巴克坐坐，问问店员，发现心心念念的麦芽雪冷翠终于来了！早起的鸟儿有虫吃哈哈
1527841800# #广州白云机场雷暴，飞机备降深圳，等待起飞。看来平生第一次将从深圳飞广州，创本人史上最短距离行程。现场有十几位乘客要求下机，他们计划从宝安机场—高铁—罗湖—直通车—广州。这儿有两个问题：现在是远机位，没车来接，怎么下机？先生女士们，你们确认这种方式更快吗？思考
1525065764# #昨天中午去育才实验，人不算多，估计是难度太大有些家庭放弃了吧！校园占地大，环境优美，教学文娱设施齐全。咨询老师有二十多个，非常耐心，但言语中的那份自信多少显得有点傲娇，那条件真是高！现场学生可以展示体育、艺术特长，的确是少有的民办招特长生。搞笑的是，看到很多家长在食堂体验午饭，可
1613211464# #遵循本地风俗，新年不上门不拜年不团拜不派红包，一家人来南沙小住几天。先踩单车沿绿道逛逛，接着坐船游览南沙湿地，岸边红树林、芦苇，水上白鹭飞，水中水鸭游，鸟类栖息之地，环境真不错！值得一看。
1661662013# #体验不错，下次再来。
1523109147# #吃货的人生哲理：北冥有鱼，其名为鲲，鲲之大，一锅炖不下。化身为鸟，其名为鹏，鹏之大，需要两个烧烤架。一个蒜香，一个特辣dogedoge
1533379085# #D7.乘坐观光公交看伦敦之五。注意图二有亮点哈哈
1618468530# #三月三，一个普通的日子，但每年我们都会欢聚一堂，为爸爸庆生蛋糕此情此景，今生再无。我想，爸爸能够看到，我们都怀念着他，都在努力过好自己的生活。他的血脉流淌在我身上，流淌在我的孩子身上，也流淌在人世间。
1554526204# #越看越喜欢。
1533411965# #D7.乘坐观光公交看伦敦之八。依次经过伦敦塔桥、伦敦塔、泰晤士河、黄金眼。
1613216904# #南沙夜，街人少楼人多。这个点吃饭，人巨多！到处等位。
1530197770# #纠结啊！明天网报，后天面谈，接着注册。两家都优秀，两家都经历过MK。一个在白云一个在黄埔，一个老牌一个新秀，一个宽松素质教育综合发展，一个严格管理加工能力强，老师家长们众说纷纭，各有各的道理，搞得哥莫衷一是。让孩子自己选择吧又不放心，真正体会到花多眼乱！好在只有两票，而那些有n张票
1543296951# #这不是猫，活脱脱就是只老虎仔笑cry
1545863847# #早班机。
1564169371# #感觉爱丁堡是个遍布城堡和教堂的小镇，高纬地区，估计至少得9点才天黑。饭后散步，人少，真好！
1568454642# #爬上冰箱，君临天下，威风凛凛！
1663464696# #晚上的天河南二路，新的网红打卡点doge
1535257220# #孩子军训，我们休闲。周末出来饮茶，地点当然是我的最爱。老婆抱怨为什么以前不带她？唉，以前毎周末忙得像条狗似的，何时有空？
1573998528# #中段考试结束，今天参加家长会。去到了教室，也顺便去孩子宿舍看看，看到他的床铺，心情很激动！这是他生活学习的地方。听到了各科老师对孩子们学习的情况，知道了他每天都在进步！继续努力。
1564343539# #今晚住地，安顿好后直奔超市。坐了一天车，饿坏了，咱先医肚子好吗？
1548413232# #大昆明。
1552552364# #今早看香港无线新闻，昨天脱欧协议再度被否，可怜的梅姨！面对下议院的反对派工党和北爱的议员，失声辩解，心力交瘁！眼袋黑眼圈尤其明显，估计她心里一百个草泥马掠过，卡梅伦，你们小子干得好事！老娘我替你擦屁股，脱欧这个锅俺背得冤啊哈哈
1592986570# #郑州到南阳400公里，单程高速公路4个半小时。哥们两天往返，累得不行，腰酸背痛，晚上回酒店倒下就睡，像极了咱家的猫🐱看上去虽不算什么，但哥们好久好久没坐过超过三小时的车了笑cry
1538383123# #孩子英语周考，完全按中考模拟方式，2B铅笔答题卡也派上用场，满分120。昨天妻子告知他111，心想还不错嘛good再一了解，这成绩全班45人排名24位，班上还有两个满分。按此计算全级780人估计排名400吧，我去！省附的牛娃真是多如牛毛啊！回来后，先表扬、再鼓励、最后是激励哈哈
1538548063# #飞水潭，鼎湖游玩，必到之处。
1697585568# #今早在公司楼下的便利店，开通了一项“黑科技”—微信手掌支付哈哈哈哈
1598655936# #出差几天，喝了几场，大吃几顿，全是麻辣。今天必须要做点什么🤔
1538526310# #七星岩，广东最早的一批知名景点。
1539483822# #重阳登高。好久没来白云山了，还见到了久违的“红歌会”！doge
1642311697# #二十多年前，哥还在中行做信贷员，当时这家公司就位于白天鹅宾馆对面，它叫广州市外轮供应公司，偶尔客户也和我在白天鹅宾馆喝茶吃饭。岁月如梭！
1530903182# #比利时号称“欧洲红魔”，世界排名前三，球星云集，实力超群，半场打巴西2:0绝不意外！丁丁真是厉害👍哥不禁想起36年前的西班牙世界杯开幕赛，比利时1球斩落如日中天的上届冠军阿根廷，爆出大冷！今天如能干掉巴西，也是顺理成章。有点期待法比大战。
1693488706# #今年第九号超强台风“苏拉”明天杀到，全市高度戒备。学校通知高三孩子今晚可以提前回家，周日晚再返校。孩子很高兴，上了一个月课，终于可以好好休息几天，而家长群则一片哀嚎笑cry抱怨学校没担当哈哈此时此刻，我只想问：明天还上班吗允悲
1695802308# #中午来份韩国烤肉蛋包饭，外加洋葱炸鸡，俩人share，走之前买了一堆糖笑cry慢慢吃。
1627900451# #孩子通过中考二批次第一志愿，录取到天河外国语。祝贺他！高中继续努力，实现心中梦想！三年后，高考见加油加油加油
1522499332# #这是第二场夜考，第一次是去年12月的寒夜。灯火通明的考场、努力的孩子、焦虑的家长，多么和谐的画面笑cry考场地点是一个偏僻之地，周边城中村林立。感谢孩子！让我知道了不少平生少去的地方，老广州变成老司机哈哈哈哈
1653957768# #本架航班涂装很有特色馋嘴
1545447121# #近日，广东高考中考改革尘埃落定。2021年中考加历史；高考语数英政必考，历史和物理二选一，生物化学地理三选一，从此没有绝对的文理分科。我积极赞成改革，现有模式学理化则弃史地，扼杀了孩子选择。随着期末考试季来临，孩子时间非常紧，毕竟从小学三科突增至7科，多少都要有个适应过程。看周末作业
1680776338# #好久没坐地铁，好久没来西关，好久没来向群，好久没见老友。今晚一次性搞定！
1574123498# #今早送孩子返校，坐地铁回公司，在莲塘站见到一家美心店，买了早餐付款时说了句“支持美心”！店员阿姨很感动，连声道谢。
1601127795# #晚饭后又走了一圈，头一次看白堤夜景。
1564325445# #英国最高山峰，海拔1千多米哈哈哈哈笑cry笑cry
1533486094# #D8.乘坐观光船经过伦敦塔桥，惊喜地发现塔桥打开啦！鼓掌鼓掌鼓掌正在放行邮轮。19-20世纪建成使用时，每天塔桥会打开十几次。但随着现代社会交通发展，已经不允许它频繁使用，塔桥更多是作为观光旅游景点，原有的功能正在弱化，一天打开也就两三次。所以呢，看到一次不容错过！旁边有艘军舰，这
1631246071# #今天去车站的路上，碰到一个很能侃的出租司机，说到农村结婚的事。目前通行的彩礼10-20万元，加上房车摆酒，没几十万不行，更有夸张的彩礼“万紫千红一片绿”，10000张50元1000张100元一把20元，如果家有两三个儿子简直痛不欲生。相反，家有几个女儿就是躺赢哈哈哈哈这样重男轻女想法逐渐淡化。光
1599710819# #凉风习习，秋月无边。
1660913717# #路过武汉长江大桥，随手照了几张。于我而言，这座桥留给我太多美好的回忆，小时候爷爷经常带我上桥看火车轮船，这是童年的快乐！经过母校，尝试碰碰运气，居然放行了，假期中的校园宁静，创立人陈毅像依在。犹记上次回校是十年前同学聚会，转眼又十载，光阴似箭，人生苦短。我辈当更进！不负时代。
1577807092# #记忆中没试过元旦不调休，只放一天假。过往每到12月31日是欢乐时光，出外玩或家庭娱乐。今年却不一样，前天才送孩子回校，今天又回来了！明晚再返校。更重要的是孩子后天开始期末考试，今晚和明天全泡在书本里。静谧的夜晚，一家三口，有人背书，有人看书，有人煮夜宵。一切是那么自然而美好！满满的幸
1533312353# #D6.Reading站很大，Bath站很小，想不到货车车卡更小。
1532222493# #在附近办事，专门回来吃个早餐。半年了，还是变了不少！中石化泪泪泪
1532944811# #D2-1.古罗马雕塑。图一是爱马士，对！就是那个奢侈品牌。
1533653805# #英伦游之“行”。英国交通费奇贵：1.城际间铁路2小时内车程，票价过人民币千元，大部分车次没空调，而且上车不确保有座允悲2.地铁之前介绍过，几站可以收几镑。3.大巴相对便宜，基本没空调，坐在二层敞篷倒也舒服。4.出租车多为黑色，分4、5、6座型，起价2.6镑，计价器上驾驶室上方中部，公开透明，
1659884181# #码
1525064792# #昨天上午去了中大附，意料之中的人多，但咨询老师却少，关键是一问三不知，实在无语，住宿条件也一般。坦白说，从中大附网上意向报名登记开始，哥已对其不满，唯一一家系统不能修改、上传限制三张照片，需要家长先拼图，界面风格不友好。学生住宿只能解决25%，而且原则是骏景花园以东，家住天河南的我
1654074990# #我去！史无前例，第一次感受地震，整个房间在摇晃，吓得哥马上跑出来！貌似成都人民都很淡定，就几个人在外允悲
1533377400# #D7.乘坐观光公交看伦敦之一。
1542537237# #每周日六点送孩子返校，无限牵挂！送完回家的路上，我俩又非常轻松！这种感觉周而复始，循环往复哈哈
1676695828# #小米不知道吃了啥，拉肚子没忍住，屙了一坨💩在床上怒只好来医院，刚巧医生是上次为它做手术的，喜相逢！先查血再验便最后做B超，喜提大洋388，意头真好允悲
1647181223# #明天飞成都，结果连续订了两班航班，均被取消，真是破天荒！我理解，由于近期疫情原因，可能不少旅客取消航程，导致乘客大减，航司迫于无奈只能整班取消！虽然不便，但能理解。默默地告诉自己，如果第三次再取消，咱就不去了笑cry笑cry
1646185372# #荆州古城，开元观，始建于唐玄宗开元年间，道观之地，全国重点文物保护单位。
1680848321# #下了两星期的雨，昨晚降温起风收潮，衣服终于不用抽湿了笑cry今天风和日丽，不冷不热，又逢周末，心情愉悦，甚好甚好！
1535300416# #花园酒店旋转餐厅真是360度转动的。
1650267371# #为了办事方便，加上明天早班高铁，哥决定放弃一直以来的汉口酒店，这次转去武昌住。想不到酒店得知我从广州来且带*，拒绝我入住，哥解释自己是绿码48小时阴性下高铁刚做了核酸，之前没去过中高风险地区，并且全广州都是带*，但是没用允悲允悲想想每天至少几百上千的广州人到汉吧？难道都睡街上
1600792333# #岳簏书院，真是挺大的！
1564123317# #伦敦，希斯罗机场，阴雨笑cry不同于去年经停迪拜，今年我们直飞，航线穿越西南、西北，再经中亚、俄罗斯，飞越波罗的海，穿过丹麦，北海，到达UK。不知是否越过青藏高原，海拔太高，飞机颠簸很厉害！但老外很淡定。
1669881241# #广州昨天阳6300+，社会面61，持续下降。下午从办公室看，猎德桥恢复正常。众所周知，昨天下午广州大幅度放开封控，只保留高风险区，基本停止市内核酸检测，由此而来部分无症状者可能无法知晓，那么今天的阳性数据将不再具参考意义。今天各区已恢复堂食，各大商超、办公楼也不再查验阴性有效时间，不过
1660276476# #倾盆大雨，从天而降，出差肇庆。中午找个地方“医肚”，当地人说这家“西江渔港”味道不错，来此必点“西江黄沙大蚬”挤眼
1598432804# #上午飞重庆，在机场休息室见到一人，貌似中行旧同事，我看他他看我哈哈不经意间互望几次，最后小弟实在忍不住，问是不是X先生…，果如是，大笑！他笑说小弟胖了不敢认允悲想当时，我们都是资产管理条线，我在省行他在佛山，由于业务经常往来。别后十五年不期而遇，非常高兴，抽烟、吹牛，聊起以前
1550552712# #我的靓仔小王子爱你爱你爱你在家上个网都不得安宁，捣蛋鬼！你这是几个意思呀二哈二哈二哈
1564922616# #还是喜欢中国文化，特别是瓷器。
1533293792# #D6.石头建筑，果然命长。这些看起来普通，但动辄就是数百年。我大天朝木建筑设计风格，几百年殊为不易悲伤
1549260171# #大年三十，人少街静。
1533658414# #D10.自然历史博物馆之三。
1673236101# #路上堵车，心里踏实微笑
1533294785# #D6.换个角度看广场。
1685624190# #晚上的江滩公园，很热闹。长江水漫上来了，这才是正常状况，不像去年枯得吓人！站在汉口看武昌，显然对岸的夜景更美！最搞笑的是，江滩上只有我一个人戴口罩允悲
1549791005# #今天让儿子陪我去看电影《流浪地球》，没错！他陪我。电影整体不错，堪称最好的国产科幻大片，即使跟美片比也差不多吧！虽然有个别情节交待得不是很清楚，但大致意思还是明白的，尤其是脑洞大开，拯救人类和地球的方式，点赞！！另外，全片意境深远意义升华，国际主义和集体主义精神闪现，这个有别于老
1670199679# #久违的感觉，堵车挤眼
1579770429# #下午出门，发现广州地铁已开始全面实施体温测试，地铁车厢里全部戴上了口罩！没事家里宅，出门戴口罩，回家勤洗手！你我努力，共克时艰。祝福武汉亲友和同学，平安祥和！武汉加油💪
1532958722# #D2-7。瓷器-宋汝、官、定、钧窑。
1533673416# #再见！英国。我明年还会再来的，因为一次签证两年有效哈哈哈哈哈哈我还要去爱丁堡、威尔士、北爱、牛津大学、湖区、postoffice…
1524908248# #五一期间，广州至少有几十家民办初中举行校园开放日活动，大扎堆笑cry其中有5家是孩子的目标，这个假期有得忙乎！生命不息，折腾不止。明天上午进军中大附中，下午冲刺育才实验。一个在海珠中大旁，一个在二沙岛江边，杠杠的市中心、妥妥的一线名校啊嘻嘻
1534876035# #有空看看。
1642673632# #很荣幸获邀为天外高一孩子们举办一场讲座。
1565102076# #逛逛英国的集市。
1564756591# #来了才明白小镇名字的含义。
1564494466# #鼎鼎大名的圣安德鲁斯高尔夫球场，别名“老球场”，也是四大高尔夫公开赛之一“英国公开赛”的主场地。球场濒临海岸，毎个赛季时海凤很大，风向多变，球路和球速巨难掌握，夺冠异常艰难，被称为“魔鬼赛场”。
1589090435# #中午两点，行雷闪电，暴雨即将来临！
1597809501# #饭后散步。
1598433263# #今天，飞机进入平飞时，偶向窗外望了眼，发现几公里外，一架飞机逆向向行，似箭般消逝，相对速度，真快！以前见过同向而行的飞机，今天第一次看到逆向。人生路漫漫，处处多留意，发现生活美，不亦乐乎！
1554529990# #手术完毕，麻醉过后，终于醒了！刚才那一刻，多么害怕你不醒啊！悲伤悲伤悲伤
1533413901# #D7.乘坐观光公交看伦敦之九。再次经过议会广场和白厅街。
1668766360# #昨天又阳了9100+，再上新台阶，其中9008在海珠区，现在几个区正在抓紧建方舱医院，其中南沙区万顷沙在建方舱可容纳8万多人，做好长期作战准备。按照这个趋势，周末过万几无悬念，希望拐点也随之而来。好消息是陆续有荔湾、番禺的同事回来上班。11月解决问题，我有信心！
1684754306# #人是会懒惰的。以前飞还经常看看书报，但空间狭窄，手累眼累身体累，今天放飞自我，索性玩把游戏-“斗地主”，好多年没玩，几十局下来发现自己功力还在！老夫领先挤眼
1596325796# #这么早来看书，勤奋好学goodgoodgood
1674082911# #保姆今早回老家过年，我下来顶班。好久没这么早起床，天气真冷呀！
1533044877# #D3.剑桥某学院招生面试，貌似大部分是中国人，旁观。
1666954163# #中午和几个同事吃饭，饭后回公司入大门时，一个同事黄码只能无奈回家，但同事早上还是绿码的，只能说明上午的某个时间段某个地点，身边可能有疫情发生。这病毒，防不胜防，“条条大路通黄码”！失望
1564469047# #宁静的早晨。
1620216661# #今天是二中开放日，下午和儿子一起去看看，还见到了儿子初中的学长。校园真漂亮，读书的好地方！努力吧！少年。
1644716932# #开学季，又一个新学期，重新分科分班。加油吧，少年！
1552803403# #跟着专家学看表，经典老款-欧米茄嘻嘻二哈
1533149010# #D4.伊顿公学，位于伊顿小镇。学校门非常简陋，但世界闻名，贵族气质，顶级学校，非一般人可以进去。可惜呀！又不对外开放。
1588914378# #第一次经过，抽烟签到。
1624504728# #星河湾，大海之滨，水糸园林，良心之作。
1649390761# #饭后走走。
1573781784# #恒大酒店早餐出乎我意料，真心不错！除了江南美味可口，还有北方的豪爽，量大哈哈
